word,phonetic,definition_zh,definition_en,example,tags,audio_file
a,/eɪ/,,The name of the Latin script letter A/a.,,basic;dale-chall;pos:noun,resource-packs/basic-dale-chall-foundation-2026-06-16/audio/a.mp3
able,/ˈeɪ.bl̩/,,Easy to use.,,basic;dale-chall;pos:adjective,resource-packs/basic-dale-chall-foundation-2026-06-16/audio/able.mp3
aboard,/əˈbɔɹd/,,"On board; into or within a ship or boat; hence, into or within a railway car.",We all climbed aboard.,basic;dale-chall;pos:adverb,resource-packs/basic-dale-chall-foundation-2026-06-16/audio/aboard.mp3
about,/əˈbaʊt/,,Moving around; astir.,"After my bout with Guillan-Barre Syndrome, it took me 6 months to be up and about again.",basic;dale-chall;pos:adjective,resource-packs/basic-dale-chall-foundation-2026-06-16/audio/about.mp3
above,/əˈbʌv/,,Heaven.,,basic;dale-chall;pos:noun,resource-packs/basic-dale-chall-foundation-2026-06-16/audio/above.mp3
absent,/ˈæb.sn̩t/,,"(with definite article) Something absent, especially absent people collectively; those who were or are not there.",,basic;dale-chall;pos:noun,resource-packs/basic-dale-chall-foundation-2026-06-16/audio/absent.mp3
accept,/əkˈsɛpt/,,"To receive, especially with a consent, with favour, or with approval.",,basic;dale-chall;pos:verb,resource-packs/basic-dale-chall-foundation-2026-06-16/audio/accept.mp3
accident,/ˈæk.sə.dənt/,,An unexpected event with negative consequences occurring without the intention of the one suffering the consequences.,to die by an accident,basic;dale-chall;pos:noun,resource-packs/basic-dale-chall-foundation-2026-06-16/audio/accident.mp3
account,/ə.ˈkaʊnt/,,"A registry of pecuniary transactions; a written or printed statement of business dealings or debts and credits, and also of other things subjected to a reckoning or review.",,basic;dale-chall;pos:noun,resource-packs/basic-dale-chall-foundation-2026-06-16/audio/account.mp3
ache,/eɪk/,,"Continued dull pain, as distinguished from sudden twinges, or spasmodic pain.",,basic;dale-chall;pos:noun,resource-packs/basic-dale-chall-foundation-2026-06-16/audio/ache.mp3
acorn,/ˈeɪ.kɔɹn/,,"The fruit of the oak, being an oval nut growing in a woody cup or cupule.",,basic;dale-chall;pos:noun,resource-packs/basic-dale-chall-foundation-2026-06-16/audio/acorn.mp3
acre,/ˈeɪ.kɚ/,,"An English unit of land area (symbol: a. or ac.) originally denoting a day's plowing for a yoke of oxen, now standardized as 4,840 square yards or 4,046.86 square meters.",,basic;dale-chall;pos:noun,resource-packs/basic-dale-chall-foundation-2026-06-16/audio/acre.mp3
across,/əˈkɹɔs/,,"(crosswords, often in combination) A word that runs horizontally in the completed puzzle grid or its associated clue.","I solved all of the acrosses, but then got stuck on 3 down.",basic;dale-chall;pos:noun,resource-packs/basic-dale-chall-foundation-2026-06-16/audio/across.mp3
act,/æk/,,"Something done, a deed.",an act of goodwill,basic;dale-chall;pos:noun,resource-packs/basic-dale-chall-foundation-2026-06-16/audio/act.mp3
acts,/æks/,,"Something done, a deed.",an act of goodwill,basic;dale-chall;pos:noun,resource-packs/basic-dale-chall-foundation-2026-06-16/audio/acts.mp3
add,/æd/,,An act or instance of adding.,,basic;dale-chall;pos:noun,resource-packs/basic-dale-chall-foundation-2026-06-16/audio/add.mp3
address,/æˈdɹɛs/,,Direction.,,basic;dale-chall;pos:noun,resource-packs/basic-dale-chall-foundation-2026-06-16/audio/address.mp3
admire,/ədˈmaɪɹ/,,To be amazed at; to view with surprise; to marvel at.,,basic;dale-chall;pos:verb,resource-packs/basic-dale-chall-foundation-2026-06-16/audio/admire.mp3
adventure,/ædˈvɛnt͡ʃɚ/,,"The encountering of risks; a bold undertaking, in which dangers are likely to be encountered, and the issue is staked upon unforeseen events; a daring feat.",,basic;dale-chall;pos:noun,resource-packs/basic-dale-chall-foundation-2026-06-16/audio/adventure.mp3
afraid,/əˈfɹeɪd/,,"(usually used predicatively, not attributively, be afraid) Impressed with fear or apprehension; in fear.",He is afraid of death.,basic;dale-chall;pos:adjective,resource-packs/basic-dale-chall-foundation-2026-06-16/audio/afraid.mp3
after,/ˈæf.tɚ/,,"Later; second (of two); next, following, subsequent",,basic;dale-chall;pos:adjective,resource-packs/basic-dale-chall-foundation-2026-06-16/audio/after.mp3
afternoon,/ˌæf.tɚ.ˈnun/,,"The part of the day from noon or lunchtime until sunset, evening, or suppertime or 6pm.",,basic;dale-chall;pos:noun,resource-packs/basic-dale-chall-foundation-2026-06-16/audio/afternoon.mp3
afterward,/ˈæf.tɚ.wɚd/,,(temporal location) At a later or succeeding time.,,basic;dale-chall;pos:adverb,resource-packs/basic-dale-chall-foundation-2026-06-16/audio/afterward.mp3
afterwards,/ˈæf.tɚ.wɚdz/,,(temporal location) At a later or succeeding time.,,basic;dale-chall;pos:adverb,resource-packs/basic-dale-chall-foundation-2026-06-16/audio/afterwards.mp3
again,/əˈɡeɪn/,,Another time; once more.,,basic;dale-chall;pos:adverb,resource-packs/basic-dale-chall-foundation-2026-06-16/audio/again.mp3
against,/əˈɡɛnst/,,In a contrary direction to.,It is hard work to swim against the current.,basic;dale-chall;pos:preposition,resource-packs/basic-dale-chall-foundation-2026-06-16/audio/against.mp3
age,/eɪd͡ʒ/,,"The whole duration of a being, whether animal, plant, or other kind, being alive.",,basic;dale-chall;pos:noun,resource-packs/basic-dale-chall-foundation-2026-06-16/audio/age.mp3
aged,/eɪdʒd/,,To cause to grow old; to impart the characteristics of age to.,Grief ages us.,basic;dale-chall;pos:verb,resource-packs/basic-dale-chall-foundation-2026-06-16/audio/aged.mp3
ago,/əˈɡoʊ/,,Gone; gone by; gone away; passed; passed away.,in days ago/in days agone,basic;dale-chall;pos:adjective,resource-packs/basic-dale-chall-foundation-2026-06-16/audio/ago.mp3
agree,/əˈɡɹi/,,"To harmonize in opinion, statement, or action; to be in unison or concord; to be or become united or consistent; to concur.",all parties agree in the expediency of the law.,basic;dale-chall;pos:verb,resource-packs/basic-dale-chall-foundation-2026-06-16/audio/agree.mp3
ah,/ɑː/,,"The speaker or writer, referred to as the grammatical subject, of a sentence.",,basic;dale-chall;pos:pronoun,resource-packs/basic-dale-chall-foundation-2026-06-16/audio/ah.mp3
ahead,/əˈhɛd/,,In or to the front; in advance; onward.,,basic;dale-chall;pos:adverb,resource-packs/basic-dale-chall-foundation-2026-06-16/audio/ahead.mp3
aid,/eɪd/,,"Help; assistance; succor, relief.",He came to my aid when I was foundering.,basic;dale-chall;pos:noun,resource-packs/basic-dale-chall-foundation-2026-06-16/audio/aid.mp3
aim,/eɪm/,,"The pointing of a weapon, as a gun, a dart, or an arrow, or object, in the line of direction with the object intended to be struck; the line of fire; the direction of anything, such as a spear, a blow, a discourse, a remark, towards a particular point or object, with a view to strike or affect it.",Take time with the aim of your gun.,basic;dale-chall;pos:noun,resource-packs/basic-dale-chall-foundation-2026-06-16/audio/aim.mp3
air,/ˈɛəɹ/,,"The substance constituting earth's atmosphere, particularly:",I'm going outside to get some air.,basic;dale-chall;pos:noun,resource-packs/basic-dale-chall-foundation-2026-06-16/audio/air.mp3
