word,phonetic,definition_zh,definition_en,example,tags,audio_file
a,/eɪ/,,The name of the Latin script letter A/a.,,cefr-j;a1;starter;cefr:a1;pos:noun,resource-packs/cefr-j-a1-starter-2026-06-18/audio/a.mp3
about,/əˈbaʊt/,,Moving around; astir.,"After my bout with Guillan-Barre Syndrome, it took me 6 months to be up and about again.",cefr-j;a1;starter;cefr:a1;pos:adjective,resource-packs/cefr-j-a1-starter-2026-06-18/audio/about.mp3
above,/əˈbʌv/,,Heaven.,,cefr-j;a1;starter;cefr:a1;pos:noun,resource-packs/cefr-j-a1-starter-2026-06-18/audio/above.mp3
action,/ˈæk.ʃən/,,Something done so as to accomplish a purpose.,,cefr-j;a1;starter;cefr:a1;pos:noun,resource-packs/cefr-j-a1-starter-2026-06-18/audio/action.mp3
activity,/ækˈtɪ.və.ti/,,The state or quality of being active; activeness.,Pit row was abuzz with activity.,cefr-j;a1;starter;cefr:a1;pos:noun,resource-packs/cefr-j-a1-starter-2026-06-18/audio/activity.mp3
actor,/ˈæk.tɚ/,,"A person who performs, plays a part in a theatrical play or film.",,cefr-j;a1;starter;cefr:a1;pos:noun,resource-packs/cefr-j-a1-starter-2026-06-18/audio/actor.mp3
add,/æd/,,An act or instance of adding.,,cefr-j;a1;starter;cefr:a1;pos:noun,resource-packs/cefr-j-a1-starter-2026-06-18/audio/add.mp3
address,/æˈdɹɛs/,,Direction.,,cefr-j;a1;starter;cefr:a1;pos:noun,resource-packs/cefr-j-a1-starter-2026-06-18/audio/address.mp3
afraid,/əˈfɹeɪd/,,"(usually used predicatively, not attributively, be afraid) Impressed with fear or apprehension; in fear.",He is afraid of death.,cefr-j;a1;starter;cefr:a1;pos:adjective,resource-packs/cefr-j-a1-starter-2026-06-18/audio/afraid.mp3
after,/ˈæf.tɚ/,,"Later; second (of two); next, following, subsequent",,cefr-j;a1;starter;cefr:a1;pos:adjective,resource-packs/cefr-j-a1-starter-2026-06-18/audio/after.mp3
afternoon,/ˌæf.tɚ.ˈnun/,,"The part of the day from noon or lunchtime until sunset, evening, or suppertime or 6pm.",,cefr-j;a1;starter;cefr:a1;pos:noun,resource-packs/cefr-j-a1-starter-2026-06-18/audio/afternoon.mp3
again,/əˈɡeɪn/,,Another time; once more.,,cefr-j;a1;starter;cefr:a1;pos:adverb,resource-packs/cefr-j-a1-starter-2026-06-18/audio/again.mp3
age,/eɪd͡ʒ/,,"The whole duration of a being, whether animal, plant, or other kind, being alive.",,cefr-j;a1;starter;cefr:a1;pos:noun,resource-packs/cefr-j-a1-starter-2026-06-18/audio/age.mp3
ago,/əˈɡoʊ/,,Gone; gone by; gone away; passed; passed away.,in days ago/in days agone,cefr-j;a1;starter;cefr:a1;pos:adjective,resource-packs/cefr-j-a1-starter-2026-06-18/audio/ago.mp3
agree,/əˈɡɹi/,,"To harmonize in opinion, statement, or action; to be in unison or concord; to be or become united or consistent; to concur.",all parties agree in the expediency of the law.,cefr-j;a1;starter;cefr:a1;pos:verb,resource-packs/cefr-j-a1-starter-2026-06-18/audio/agree.mp3
airport,/ˈɛɹ.pɔɹt/,,"An airfield (an area designated for the takeoff and landing of aircraft), including one or more runways and (for commercial airports) one or more passenger terminals.","Because of this, and contrary to popular belief, British airports primarily act as giant wealth extractors, transporting our richest citizens out of the country as often as possible to take their money overseas. ― The Independent, Heathrow expansion to mainly benefit wealthy frequent fliers, research finds, 23 june 2018.",cefr-j;a1;starter;cefr:a1;pos:noun,resource-packs/cefr-j-a1-starter-2026-06-18/audio/airport.mp3
album,/ˈælbəm/,,"A book specially designed to keep photographs, stamps, or autographs.",,cefr-j;a1;starter;cefr:a1;pos:noun,resource-packs/cefr-j-a1-starter-2026-06-18/audio/album.wav
all,/ɔl/,,(with a possessive pronoun) Everything that one is capable of.,"She gave her all, and collapsed at the finish line.",cefr-j;a1;starter;cefr:a1;pos:noun,resource-packs/cefr-j-a1-starter-2026-06-18/audio/all.mp3
almost,/ˈɑl.moʊst/,,Something or someone that doesn't quite make it.,"In all the submissions, they found four papers that were clearly worth publishing and another dozen almosts.",cefr-j;a1;starter;cefr:a1;pos:noun,resource-packs/cefr-j-a1-starter-2026-06-18/audio/almost.mp3
alone,/əˈloʊn/,,"By oneself, solitary.",I can't ask for help because I am alone.,cefr-j;a1;starter;cefr:a1;pos:adjective,resource-packs/cefr-j-a1-starter-2026-06-18/audio/alone.mp3
along,/əˈlɔŋ/,,In company; together.,John played the piano and everyone sang along.,cefr-j;a1;starter;cefr:a1;pos:adverb,resource-packs/cefr-j-a1-starter-2026-06-18/audio/along.mp3
already,/ɔlˈɹɛdi/,,"Prior to some specified time, either past, present, or future; by this time; previously.",,cefr-j;a1;starter;cefr:a1;pos:adverb,resource-packs/cefr-j-a1-starter-2026-06-18/audio/already.mp3
also,/ˈɔl.soʊ/,,(focus) In addition; besides; as well; further; too.,"They had porridge for breakfast, and also toast.",cefr-j;a1;starter;cefr:a1;pos:adverb,resource-packs/cefr-j-a1-starter-2026-06-18/audio/also.mp3
always,/ˈɔl.weɪz/,,At all times; throughout all time; since the beginning.,Airplanes did not always exist as a form of transportation.,cefr-j;a1;starter;cefr:a1;pos:adverb,resource-packs/cefr-j-a1-starter-2026-06-18/audio/always.mp3
am,[ɛ̃ə̃ːm],,Before noon.,,cefr-j;a1;starter;cefr:a1;pos:adverb,resource-packs/cefr-j-a1-starter-2026-06-18/audio/am.mp3
an,/æn/,,One,,cefr-j;a1;starter;cefr:a1;pos:numeral,resource-packs/cefr-j-a1-starter-2026-06-18/audio/an.mp3
and,,,"In rhythm, the second half of a divided beat.",,cefr-j;a1;starter;cefr:a1;pos:noun,resource-packs/cefr-j-a1-starter-2026-06-18/audio/and.mp3
angry,/ˈæŋ.ɡɹi/,,Displaying or feeling anger.,An angry mob started looting the warehouse.,cefr-j;a1;starter;cefr:a1;pos:adjective,resource-packs/cefr-j-a1-starter-2026-06-18/audio/angry.mp3
animal,/ˈænɪməl/,,"In scientific usage, a multicellular organism that is usually mobile, whose cells are not encased in a rigid cell wall (distinguishing it from plants and fungi) and which derives energy solely from the consumption of other organisms (distinguishing it from plants).","A cat is an animal, not a plant. Humans are also animals, under the scientific definition, as we are not plants.",cefr-j;a1;starter;cefr:a1;pos:noun,resource-packs/cefr-j-a1-starter-2026-06-18/audio/animal.mp3
another,/æˈnʌð.ə(ɹ)/,,An additional one of the same kind.,There is one sterling and here is another,cefr-j;a1;starter;cefr:a1;pos:pronoun,resource-packs/cefr-j-a1-starter-2026-06-18/audio/another.mp3
answer,/ˈæn.sɚ/,,A response or reply; something said or done in reaction to a statement or question.,Her answer to his proposal was a slap in the face.,cefr-j;a1;starter;cefr:a1;pos:noun,resource-packs/cefr-j-a1-starter-2026-06-18/audio/answer.mp3
any,/ˈɛni/,,"To even the slightest extent, at all.",I will not remain here any longer.,cefr-j;a1;starter;cefr:a1;pos:adverb,resource-packs/cefr-j-a1-starter-2026-06-18/audio/any.mp3
anybody,/ˈɛn.i.bɑd.i/,,Any one out of an indefinite number of persons; anyone; any person.,Anybody will do.,cefr-j;a1;starter;cefr:a1;pos:pronoun,resource-packs/cefr-j-a1-starter-2026-06-18/audio/anybody.mp3
anyone,/ˈæniˌwʌn/,,Any person; anybody.,Almost anyone can change a light bulb.,cefr-j;a1;starter;cefr:a1;pos:pronoun,resource-packs/cefr-j-a1-starter-2026-06-18/audio/anyone.mp3
anything,/ˈɛn.i.θɪŋ/,,Someone or something of importance.,,cefr-j;a1;starter;cefr:a1;pos:noun,resource-packs/cefr-j-a1-starter-2026-06-18/audio/anything.mp3
apple,/ˈæp.əl/,,"A common, round fruit produced by the tree Malus domestica, cultivated in temperate climates.",,cefr-j;a1;starter;cefr:a1;pos:noun,resource-packs/cefr-j-a1-starter-2026-06-18/audio/apple.mp3
apron,/ˈeɪ.pɹən/,,An article of clothing worn over the front of the torso and/or legs for protection from spills; also historically worn by Freemasons and as part of women's fashion.,,cefr-j;a1;starter;cefr:a1;pos:noun,resource-packs/cefr-j-a1-starter-2026-06-18/audio/apron.mp3
arm,/ɑɹm/,,"The portion of the upper human appendage, from the shoulder to the wrist and sometimes including the hand.",She stood with her right arm extended and her palm forward to indicate “Stop!”,cefr-j;a1;starter;cefr:a1;pos:noun,resource-packs/cefr-j-a1-starter-2026-06-18/audio/arm.mp3
around,/əˈɹaʊnd/,,"(with the verb ""to be"") Present in the vicinity.",Is Clare around today?,cefr-j;a1;starter;cefr:a1;pos:adjective,resource-packs/cefr-j-a1-starter-2026-06-18/audio/around.mp3
arrive,/əˈɹaɪv/,,To reach; to get to a certain place.,He arrived home for two days.,cefr-j;a1;starter;cefr:a1;pos:verb,resource-packs/cefr-j-a1-starter-2026-06-18/audio/arrive.mp3
art,/ɑɹt/,,"The conscious production or arrangement of sounds, colours, forms, movements, or other elements in a manner that affects the senses and emotions, usually specifically the production of the beautiful in a graphic or plastic medium.",There is a debate as to whether graffiti is art or vandalism.,cefr-j;a1;starter;cefr:a1;pos:noun,resource-packs/cefr-j-a1-starter-2026-06-18/audio/art.mp3
article,/ˈɑɹtəkl̩/,,"A piece of nonfictional writing such as a story, report, opinion piece, or entry in a newspaper, magazine, journal, dictionary, encyclopedia, etc.",,cefr-j;a1;starter;cefr:a1;pos:noun,resource-packs/cefr-j-a1-starter-2026-06-18/audio/article.mp3
as,,,To such an extent or degree; to the same extent or degree.,"It's not as well made, but it's twice as expensive.",cefr-j;a1;starter;cefr:a1;pos:adverb,resource-packs/cefr-j-a1-starter-2026-06-18/audio/as.mp3
ask,/eəsk/,,An act or instance of asking.,,cefr-j;a1;starter;cefr:a1;pos:noun,resource-packs/cefr-j-a1-starter-2026-06-18/audio/ask.mp3
at,,,"To reply to or talk to someone, either online or face-to-face. (from the practice of targeting a message or reply to someone online by writing @name)",Cars 2 is the most influential film of all time. Don't @ me.,cefr-j;a1;starter;cefr:a1;pos:verb,resource-packs/cefr-j-a1-starter-2026-06-18/audio/at.mp3
august,/ɔːˈɡʌst/,,"Awe-inspiring, majestic, noble, venerable.",an august patron of the arts,cefr-j;a1;starter;cefr:a1;pos:adjective,resource-packs/cefr-j-a1-starter-2026-06-18/audio/august.mp3
aunt,/eɪnt/,,The sister or sister-in-law of one’s parent.,,cefr-j;a1;starter;cefr:a1;pos:noun,resource-packs/cefr-j-a1-starter-2026-06-18/audio/aunt.mp3
autumn,/ˈɔtəm/,,"Traditionally the third of the four seasons, when deciduous trees lose their leaves; typically regarded as being from September 24 to December 22 in parts of the Northern Hemisphere, and the months of March, April and May in the Southern Hemisphere.",,cefr-j;a1;starter;cefr:a1;pos:noun,resource-packs/cefr-j-a1-starter-2026-06-18/audio/autumn.mp3
awake,/əˈweɪk/,,Not asleep; conscious.,,cefr-j;a1;starter;cefr:a1;pos:adjective,resource-packs/cefr-j-a1-starter-2026-06-18/audio/awake.mp3
away,/əˈweɪ/,,To depart; to go to another place.,At 9 o'clock sharp he awayed to bed.,cefr-j;a1;starter;cefr:a1;pos:verb,resource-packs/cefr-j-a1-starter-2026-06-18/audio/away.mp3
baby,/ˈbeɪbi/,,"A very young human, particularly from birth to a couple of years old or until walking is fully mastered.",,cefr-j;a1;starter;cefr:a1;pos:noun,resource-packs/cefr-j-a1-starter-2026-06-18/audio/baby.mp3
