word,phonetic,definition_zh,definition_en,example,tags,audio_file
a,,art.一(个)；每一(个),,,sholvoir;cet4;exam;core,
abandon,[əˈbændən],vt.丢弃；放弃，抛弃,,,sholvoir;cet4;exam;core,
ability,[əˈbiliti],n.能力；能耐，本领,,,sholvoir;cet4;exam;core,
able,[ˈeibl],a.有能力的；出色的,,,sholvoir;cet4;exam;core,
abnormal,[æbˈnɔːməl],a.不正常的；变态的,,,sholvoir;cet4;exam;core,
aboard,[əˈbɔːd],ad.在船(车)上；上船,,,sholvoir;cet4;exam;core,
about,[ˈəbaut],prep.关于；在…周围,,,sholvoir;cet4;exam;core,
above,[əˈbʌv],prep.在…上面；高于,,,sholvoir;cet4;exam;core,
abroad,[əˈbrɔːd],ad.(在)国外；到处,,,sholvoir;cet4;exam;core,
absence,[ˈæbsəns],n.缺席，不在场；缺乏,,,sholvoir;cet4;exam;core,
absent,[ˈæbsənt],a.不在场的；缺乏的,,,sholvoir;cet4;exam;core,
absolute,[ˈæbsəluːt],a.绝对的；纯粹的,,,sholvoir;cet4;exam;core,
absolutely,[ˈæbsəluːtli],ad.完全地；绝对地,,,sholvoir;cet4;exam;core,
absorb,[əbˈsɔːb],vt.吸收；使专心,,,sholvoir;cet4;exam;core,
abstract,[ˈæbstrækt],a.抽象的 n.摘要,,,sholvoir;cet4;exam;core,
abundant,[əˈbʌndənt],a.丰富的；大量的,,,sholvoir;cet4;exam;core,
abuse,[əˈbjuːz],vt.滥用；虐待 n.滥用,,,sholvoir;cet4;exam;core,
academic,[ˌækəˈdemik],a.学院的；学术的,,,sholvoir;cet4;exam;core,
academy,[əˈkædəmi],n.私立中学；专科院校,,,sholvoir;cet4;exam;core,
accelerate,[ækˈseləreit],vt.(使)加快；促进,,,sholvoir;cet4;exam;core,
acceleration,[ækˌseləˈrei∫ən],n.加速(度),,,sholvoir;cet4;exam;core,
accent,[ˈæksənt],n.口音，腔调；重音,,,sholvoir;cet4;exam;core,
accept,[əkˈsept],vt.vi.接受；同意,,,sholvoir;cet4;exam;core,
acceptable,[əkˈseptəbl],a.可接受/合意的,,,sholvoir;cet4;exam;core,
acceptance,[əkˈseptəns],n.接受，验收；承认,,,sholvoir;cet4;exam;core,
access,[ˈækses],n.接近；通道，入口,,,sholvoir;cet4;exam;core,
accessory,[ækˈsesəri],n.同谋，从犯；附件,,,sholvoir;cet4;exam;core,
accident,[ˈæksidənt],n.意外的；事故,,,sholvoir;cet4;exam;core,
accidental,[ˌæksiˈdentl],a.偶然的；非本质的,,,sholvoir;cet4;exam;core,
accommodate,[əˈkɔmədeit],"vt.容纳;供应,供给",,,sholvoir;cet4;exam;core,
accommodation,[əˌkɔməˈdei∫ən],n.招待设备；预定铺位,,,sholvoir;cet4;exam;core,
accompany,[əˈkʌmpəni],vt.陪伴，陪同；伴随,,,sholvoir;cet4;exam;core,
accomplish,[əˈkɔmpli∫],vt.达到(目的)；完成,,,sholvoir;cet4;exam;core,
accord,[əˈkɔːd],vt.使一致；给予,,,sholvoir;cet4;exam;core,
accordance,[əˈkɔːdəns],n.一致；和谐；授予,,,sholvoir;cet4;exam;core,
accordingly,[əˈkɔːdiŋli],ad.因此，所以；照着,,,sholvoir;cet4;exam;core,
account,[əˈkaunt],n.记述；解释；帐目,,,sholvoir;cet4;exam;core,
accumulate,[əˈkjuːmjuleit],vt.积累 vi.堆积,,,sholvoir;cet4;exam;core,
accuracy,[ˈækjurəsi],n.准确(性)；准确度,,,sholvoir;cet4;exam;core,
accurate,[ˈækjurit],a.准确的，正确无误的,,,sholvoir;cet4;exam;core,
accuse,[əˈkjuːz],vt.指责；归咎于,,,sholvoir;cet4;exam;core,
accustom,[əˈkʌstəm],vt.使习惯,,,sholvoir;cet4;exam;core,
accustomed,[əˈkʌstəmd],a.惯常的；习惯的,,,sholvoir;cet4;exam;core,
ache,[eik],vi.痛；想念 n.疼痛,,,sholvoir;cet4;exam;core,
achieve,[əˈt∫iːv],vt.完成，实现；达到,,,sholvoir;cet4;exam;core,
achievement,[əˈt∫iːvmənt],n.完成；成就/绩,,,sholvoir;cet4;exam;core,
acid,[ˈæsid],n.酸；酸的，酸性的,,,sholvoir;cet4;exam;core,
acquaintance,[əˈkweintəns],n.认识;了解;熟人,,,sholvoir;cet4;exam;core,
acquire,[əˈkwaiə],vt.取得；获得；学到,,,sholvoir;cet4;exam;core,
acre,[ˈeikə],n.英亩(=6.07 亩),,,sholvoir;cet4;exam;core,
across,[əˈkrɔs],prep.横过；在…对面,,,sholvoir;cet4;exam;core,
act,[ækt],vi.行动；见效 n.行为,,,sholvoir;cet4;exam;core,
action,[ˈæk∫ən],n.行动；作用；功能,,,sholvoir;cet4;exam;core,
active,[ˈæktiv],a.活跃的；积极的,,,sholvoir;cet4;exam;core,
activity,[ækˈtiviti],n.活动；活力；行动,,,sholvoir;cet4;exam;core,
actor,[ˈæktə],n.男演员；演剧的人,,,sholvoir;cet4;exam;core,
actress,[ˈæktris],n.女演员,,,sholvoir;cet4;exam;core,
actual,[ˈæktjuəl],a.实际的；现行的,,,sholvoir;cet4;exam;core,
actually,[ˈækt∫uəli],ad.实际上；竟然,,,sholvoir;cet4;exam;core,
acute,[əˈkjuːt],a.尖的，锐的；敏锐的,,,sholvoir;cet4;exam;core,
ad,[æd],n.广告,,,sholvoir;cet4;exam;core,
adapt,[əˈdæpt],vt.使适应；改编,,,sholvoir;cet4;exam;core,
add,[æd],vt.添加，附加，掺加,,,sholvoir;cet4;exam;core,
addition,[əˈdi∫ən],n.加，加法；附加物,,,sholvoir;cet4;exam;core,
additional,[əˈdi∫ənl],a.附加的，追加的,,,sholvoir;cet4;exam;core,
address,[əˈdres],n.地址；演说；谈吐,,,sholvoir;cet4;exam;core,
adequate,[ˈædikwit],a.足够的；可以胜任的,,,sholvoir;cet4;exam;core,
adjective,[ˈædʒiktiv],n.形容词 a.形容词的,,,sholvoir;cet4;exam;core,
adjust,[əˈdʒʌst],vt.调整，调节；校正,,,sholvoir;cet4;exam;core,
administration,[ədminisˈtrei∫ən],n.管理；管理部门,,,sholvoir;cet4;exam;core,
admire,[ədˈmaiə],vt.钦佩，羡慕，赞赏,,,sholvoir;cet4;exam;core,
admission,[ədˈmi∫ən],n.允许进入；承认,,,sholvoir;cet4;exam;core,
admit,[ədˈmit],vt.承认；准许…进入,,,sholvoir;cet4;exam;core,
adopt,[əˈdɔpt],vt.收养；采用；采取,,,sholvoir;cet4;exam;core,
adult,[ˈædʌlt],n.成年人 a.成年的,,,sholvoir;cet4;exam;core,
advance,[ədˈvɑːns],vi.前进；提高 n.进展,,,sholvoir;cet4;exam;core,
advanced,[ədˈvɑːnst],a.先进的；高级的,,,sholvoir;cet4;exam;core,
advantage,[ədˈvɑːntidʒ],n.优点，优势；好处,,,sholvoir;cet4;exam;core,
adventure,[ədˈvent∫ə],n.冒险；惊险活动,,,sholvoir;cet4;exam;core,
adverb,[ˈædvəːb],n.副词,,,sholvoir;cet4;exam;core,
advertisement,[ədˈvəːtismənt],n.广告；公告；登广告,,,sholvoir;cet4;exam;core,
advice,[ədˈvais],n.劝告；忠告；意见,,,sholvoir;cet4;exam;core,
advisable,[ədˈvaizəbl],n.明智的；可取的,,,sholvoir;cet4;exam;core,
advise,[ədˈvaiz],vt.劝告；建议；通知,,,sholvoir;cet4;exam;core,
aeroplane,[ˈeərəplein],n.飞机,,,sholvoir;cet4;exam;core,
affair,[əˈfeə],n.事情，事件；事务,,,sholvoir;cet4;exam;core,
affect,[əˈfekt],vt.影响；感动,,,sholvoir;cet4;exam;core,
affection,[əˈfek∫ən],n.慈爱，爱；爱慕,,,sholvoir;cet4;exam;core,
afford,[əˈfɔːd],vt.担负得起…；提供,,,sholvoir;cet4;exam;core,
afraid,[əˈfreid],a.害怕的；担心的,,,sholvoir;cet4;exam;core,
africa,[ˈæfrikə],n.非洲,,,sholvoir;cet4;exam;core,
african,[ˈæfrikən],a.非洲的 n.非洲人,,,sholvoir;cet4;exam;core,
after,[ˈɑːftə],prep.在…以后；次于,,,sholvoir;cet4;exam;core,
afternoon,[ˈɑːftəˈnuːn],n.下午，午后,,,sholvoir;cet4;exam;core,
afterward,[ˈɑːftəwəd],ad.后来，以后,,,sholvoir;cet4;exam;core,
again,[əˈgein],ad.又一次；而且,,,sholvoir;cet4;exam;core,
against,[əˈgeinst],prep.倚在；逆，对着,,,sholvoir;cet4;exam;core,
age,[eidʒ],n.年龄；时代 vt.变老,,,sholvoir;cet4;exam;core,
agency,[ˈeidʒənsi],n.经办；代理；代理处,,,sholvoir;cet4;exam;core,
agent,[ˈeidʒənt],n.代理人，代理商,,,sholvoir;cet4;exam;core,
aggressive,[əˈgresiv],a.侵略的；好斗的,,,sholvoir;cet4;exam;core,
ago,[əˈgəu],ad.以前,,,sholvoir;cet4;exam;core,
agony,[ˈægəni],n.极度痛苦,,,sholvoir;cet4;exam;core,
