word,phonetic,definition_zh,definition_en,example,tags,audio_file
cancel,'kænsl,v  取消， 废除； 抵消， 对消； 删去， 划掉,to decide that something that was officially planned will not happen,Our flight was cancelled.,sholvoir;ielts;exam;core,
explosive,ɪk'splosɪv; ɪk'splozɪv,adj  爆炸的， 爆发的； 使人冲动的; n 爆炸物，炸药,able or likely to explode; a substance that can cause an explosion,"Because the gas is highly explosive, it needs to be kept in high-pressure containers.",sholvoir;ielts;exam;core,
prepare,prɪ'pɛr,v  准备， 预备,to make plans or arrangements for something that will happen in the future,The prosecution wanted more time to prepare their case.,sholvoir;ielts;exam;core,
crusade,kru'sed,v  加入十字军， 投身正义运动; n 十字军；斗争，运动,to take part in a crusade; a determined attempt to change something because you think you are morally right,,sholvoir;ielts;exam;core,
hamlet,'hæmlət,n  小村庄,a very small village,,sholvoir;ielts;exam;core,
surgeon,'sɝdʒən,n  外科医生,a doctor who does operations in a hospital,...a heart surgeon.,sholvoir;ielts;exam;core,
hall,hɔl,n  门厅； 礼堂,"the area just inside the door of a house or other building, that leads to other rooms",a huge tiled entrance hall,sholvoir;ielts;exam;core,
discourage,dɪs'kɝɪdʒ,vt  使泄气， 使灰心； 阻止， 劝阻,to make someone less confident or less willing to do something,You should not let one failure discourage you.,sholvoir;ielts;exam;core,
predispose,'pridɪ'spoz,v  事先影响某人； 偏爱； 易受感染,,They take pains to hire people whose personalities predispose them to serve customers well.,sholvoir;ielts;exam;core,
oversee,'ovɚ'si,vt  监督， 监视； 俯瞰， 眺望,to be in charge of a group of workers and check that a piece of work is done satisfactorily,A team leader was appointed to oversee the project.,sholvoir;ielts;exam;core,
pollution,pə'luʃən,n  污染， 污染物； 玷污,"the process of making air, water, soil etc dangerously dirty and not suitable for people to use, or the state of being dangerously dirty",California’s tough anti-pollution laws,sholvoir;ielts;exam;core,
pretend,prɪ'tɛnd,v  装作， 假装,"to behave as if something is true when in fact you know it is not, in order to deceive people or for fun",Let’s pretend we’re on the moon.,sholvoir;ielts;exam;core,
convection,kən'vɛkʃən,n  传送； 对流,"the movement in a gas or liquid caused by warm gas or liquid rising, and cold gas or liquid sinking","...clouds which lift warm, moist air by convection high into the atmosphere.",sholvoir;ielts;exam;core,
warrant,'wɔrənt,v 保证；,to promise that something is true,"Therefore, it is important to note that individual situations may warrant including additional characters in the list of special characters.",sholvoir;ielts;exam;core,
ecliptic,ɪ'klɪptɪk,n 【天】,the path along which the Sun seems to move,"On the astrolabe, an off - centered circle represents the orbit of the sun - the ecliptic.",sholvoir;ielts;exam;core,
conceal,kən'sil,vt  隐藏； 隐瞒； 掩盖,to hide something carefully,The shadows concealed her as she crept up to the house.,sholvoir;ielts;exam;core,
overrate,",ovɚ'ret",vt  对…评价过高， 高估,"If you say that something or someone is overrated, you mean that people have a higher opinion of them than they deserve",More men are finding out that the joys of work have been overrated.,sholvoir;ielts;exam;core,
meanwhile,'minwaɪl,adv  与此同时,while something else is happening,Cook the sauce over a medium heat until it thickens. Meanwhile start boiling the water for the pasta.,sholvoir;ielts;exam;core,
opulent,'ɑpjələnt,adj  豪华的， 华丽的， 富裕的； 丰富的， 丰饶的,"very beautiful, with a lot of decoration, and made from expensive materials",evening dresses in opulent fabrics,sholvoir;ielts;exam;core,
coincide,",koɪn'saɪd",vi  同时发生； 一致,"to happen at the same time as something else, especially by chance","When our vacations coincided, we often holidayed together.",sholvoir;ielts;exam;core,
competent,'kɑmpɪtənt,adj  有能力的； 能胜任的,having enough skill or knowledge to do something to a satisfactory standard,A competent mechanic should be able to fix the problem.,sholvoir;ielts;exam;core,
require,rɪ'kwaɪr,vt  需要； 命令； 规定， 要求,to need something,Campbell’s broken leg will probably require surgery.,sholvoir;ielts;exam;core,
scratch,skrætʃ,n 划伤，,a small cut on someone’s skin,There were deep scratches all over her face.,sholvoir;ielts;exam;core,
compassionate,kəm'pæʃənət,adj  有同情心的， 表示怜悯的,feeling sympathy for people who are suffering,"a caring, compassionate man",sholvoir;ielts;exam;core,
